"ASV","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"ASV259","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV26","Zaprora_silenus","species","Zaprora_silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV260","Artedius_lateralis","species","Artedius_lateralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV28","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV287","Alces_alces","species","Alces_alces","Alces","Cervidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV29","Sebastes_babcocki","species","Sebastes_babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV291","Lepidopsetta","genus",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV295","Oncorhynchus_kisutch","species","Oncorhynchus_kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV3","Oncorhynchus_keta","species","Oncorhynchus_keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"ASV303","Pholis_laeta","species","Pholis_laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV31","Bathymaster_caeruleofasciatus","species","Bathymaster_caeruleofasciatus","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV32","Glyptocephalus_zachirus","species","Glyptocephalus_zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV321","Ronquilus_jordani","species","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV325","Platichthys_stellatus","species","Platichthys_stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV326","Microgadus_proximus","species","Microgadus_proximus","Microgadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV327","Stenobrachius_leucopsarus","species","Stenobrachius_leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"ASV334","Gasterosteus_aculeatus","species","Gasterosteus_aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV345","Petromyzontidae","family",NA,NA,"Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota"
"ASV35","Leptocottus_armatus","species","Leptocottus_armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV354","Leptocottus_armatus","species","Leptocottus_armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV36","Poroclinus_rothrocki","species","Poroclinus_rothrocki","Poroclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV375","Ronquilus_jordani","species","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV379","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV38","Thaleichthys_pacificus","species","Thaleichthys_pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"ASV39","Ammodytes_hexapterus","species","Ammodytes_hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"ASV4","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV400","Petromyzontidae","family",NA,NA,"Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota"
"ASV41","Anoplarchus_purpurescens","species","Anoplarchus_purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV410","Gadus_macrocephalus","species","Gadus_macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV411","Hippoglossus_stenolepis","species","Hippoglossus_stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV419","Stenobrachius_leucopsarus","species","Stenobrachius_leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"ASV424","Xiphister","genus",NA,"Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV43","Leuroglossus_schmidti","species","Leuroglossus_schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota"
"ASV45","Mallotus_villosus","species","Mallotus_villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"ASV451","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV452","Ronquilus_jordani","species","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV457","Artedius_fenestralis","species","Artedius_fenestralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV46","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV461","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV462","Anoplarchus","genus",NA,"Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV47","Citharichthys_stigmaeus","species","Citharichthys_stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV472","Hippoglossoides_elassodon","species","Hippoglossoides_elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV478","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV48","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV49","Bathymaster","genus",NA,"Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV495","Cymatogaster_aggregata","species","Cymatogaster_aggregata","Cymatogaster","Embiotocidae","order","Actinopteri","Chordata","Eukaryota"
"ASV498","Stenobrachius_leucopsarus","species","Stenobrachius_leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota"
"ASV499","Ronquilus_jordani","species","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV5","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV52","Platichthys_stellatus","species","Platichthys_stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV539","Thaleichthys_pacificus","species","Thaleichthys_pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota"
"ASV54","Artedius_harringtoni","species","Artedius_harringtoni","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV550","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV56","Clupea_pallasii","species","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"ASV57","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV574","Bathymaster","genus",NA,"Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV59","Xiphister","genus",NA,"Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV591","Stichaeus_punctatus","species","Stichaeus_punctatus","Stichaeus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV592","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"ASV6","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV606","Homo_sapiens","species","Homo_sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"ASV612","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV617","Leptocottus_armatus","species","Leptocottus_armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV618","Leptoclinus_maculatus","species","Leptoclinus_maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV621","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV622","Hemilepidotus_hemilepidotus","species","Hemilepidotus_hemilepidotus","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV63","Ronquilus_jordani","species","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV637","Bovidae","family",NA,NA,"Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV649","Anoplopoma_fimbria","species","Anoplopoma_fimbria","Anoplopoma","Anoplopomatidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV65","Liparis_greeni","species","Liparis_greeni","Polypera","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV650","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV657","Aptocyclus_ventricosus","species","Aptocyclus_ventricosus","Aptocyclus","Cyclopteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV66","Cryptacanthodes_aleutensis","species","Cryptacanthodes_aleutensis","Cryptacanthodes","Cryptacanthodidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV672","Clinocottus_acuticeps","species","Clinocottus_acuticeps","Clinocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV676","Artedius_lateralis","species","Artedius_lateralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV679","Leptocottus_armatus","species","Leptocottus_armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV68","Sus_scrofa","species","Sus_scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"ASV681","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV688","Pholis_laeta","species","Pholis_laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV689","Lycodes_brevipes","species","Lycodes_brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV694","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"ASV7","Gadus_chalcogrammus","species","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"ASV702","Ammodytes_hexapterus","species","Ammodytes_hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"ASV703","Pusa_hispida","species","Pusa_hispida","Pusa","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota"
