"","total","spread","parent_id","curated","rank"
"ASV709",3,1,"ASV709","parent",709
"ASV710",3,1,"ASV710","parent",710
"ASV711",3,1,"ASV711","parent",711
"ASV712",3,1,"ASV1","merged",712
"ASV713",3,1,"ASV713","parent",713
"ASV714",3,1,"ASV714","parent",714
"ASV715",3,1,"ASV715","parent",715
"ASV716",2,1,"ASV716","parent",717
"ASV717",2,1,"ASV717","parent",718
"ASV718",2,1,"ASV718","parent",719
"ASV719",2,1,"ASV719","parent",720
"ASV720",2,1,"ASV7","merged",721
"ASV721",2,1,"ASV721","parent",722
"ASV722",2,1,"ASV722","parent",723
"ASV723",2,1,"ASV504","merged",724
"ASV724",2,1,"ASV724","parent",725
"ASV725",2,1,"ASV725","parent",726
"ASV726",2,1,"ASV726","parent",727
"ASV727",2,1,"ASV727","parent",728
"ASV728",2,1,"ASV1","merged",729
"ASV729",2,1,"ASV729","parent",730
"ASV730",2,1,"ASV730","parent",731
"ASV732",2,1,"ASV732","parent",732
"ASV733",1,1,"ASV733","parent",733
"ASV734",1,1,"ASV734","parent",734
"ASV735",1,1,"ASV735","parent",735
"ASV736",1,1,"ASV736","parent",736
"ASV737",1,1,"ASV737","parent",737
"ASV738",1,1,"ASV738","parent",738
"ASV739",1,1,"ASV739","parent",739
"ASV740",1,1,"ASV740","parent",740
"ASV741",1,1,"ASV741","parent",741
"ASV742",1,1,"ASV7","merged",742
"ASV743",1,1,"ASV86","merged",743
"ASV744",1,1,"ASV744","parent",744
"ASV745",1,1,"ASV745","parent",745
"ASV746",1,1,"ASV746","parent",746
"ASV747",1,1,"ASV747","parent",747
"ASV748",1,1,"ASV748","parent",748
"ASV749",1,1,"ASV749","parent",749
"ASV750",1,1,"ASV24","merged",750
"ASV751",1,1,"ASV24","merged",751
"ASV752",1,1,"ASV752","parent",752
"ASV753",1,1,"ASV753","parent",753
